frame.number,frame.time_relative,frame.time_epoch,frame.len,frame.protocols,eth.type,ip.src,ip.dst,ip.ttl,ip.flags.df,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,http.request.method,http.request.uri,http.response.code,http.request_in,http.response_in,tls.handshake.type,tls.handshake.extensions.supported_version,tls.handshake.ciphersuite
20,0.477391800,1789973465.286989200,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0002,0,0,0,,,,,,,,,,
21,0.477512500,1789973465.287109900,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0018,5955,2188,24,,,,,,,,,,
22,0.477523900,1789973465.287121300,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,0,65250,443,0x0014,2189,5979,0,,,,,,,,,,
23,0.478138900,1789973465.287736300,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0011,5979,2188,0,,,,,,,,,,
24,0.635873000,1789973465.445470400,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,0,443,65250,0x0010,5980,2189,0,,,,,,,,,,
25,0.639735400,1789973465.449332800,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0012,0,1,0,,,,,,,,,,
26,0.639772400,1789973465.449369800,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0010,1,1,0,,,,,,,,,,
27,0.650143000,1789973465.459740400,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
28,0.806207500,1789973465.615804900,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0010,1,1528,0,,,,,,,,,,
29,0.806705300,1789973465.616302700,1514,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0010,1,1528,1460,,,,,,,,2,0x0304,0x1302
30,0.806705900,1789973465.616303300,1514,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,1461,1528,1460,,,,,,,,,,
31,0.806725800,1789973465.616323200,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0010,1528,2921,0,,,,,,,,,,
32,0.807005100,1789973465.616602500,1230,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,2921,1528,1176,,,,,,,,,,
33,0.807007800,1789973465.616605200,838,eth:ethertype:ip:tcp:tls:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509ce:tls:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:x509sat:x509sat:x509sat:x509sat:x509sat:x509sat:pkixalgs:x509ce:x509ce:x509ce:x509ce:x509ce:pkix1implicit:x509ce:x509ce:tls,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,4097,1528,784,,,,,,,,11,,
34,0.807016900,1789973465.616614300,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0010,1528,4881,0,,,,,,,,,,
35,0.809477900,1789973465.619075300,134,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0018,1528,4881,80,,,,,,,,20,,
36,0.809556900,1789973465.619154300,484,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0018,1608,4881,430,,,,,,,,,,
37,0.809572500,1789973465.619169900,133,eth:ethertype:ip:tcp:tls:http:json,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0018,2038,4881,79,,,POST,/mcp,,,41,,,
38,0.968021800,1789973465.777619200,341,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,4881,2117,287,,,,,,,,4,,
39,0.968022500,1789973465.777619900,357,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,5168,2117,303,,,,,,,,4,,
40,0.968057400,1789973465.777654800,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0010,2117,5471,0,,,,,,,,,,
41,0.971994400,1789973465.781591800,232,eth:ethertype:ip:tcp:tls:http,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,5471,2117,178,,,,/mcp,202,37,,,,
42,0.972291700,1789973465.781889100,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0011,2117,5649,0,,,,,,,,,,
43,0.972599200,1789973465.782196600,78,eth:ethertype:ip:tcp:tls,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0018,5649,2117,24,,,,,,,,,,
44,0.972613900,1789973465.782211300,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,1,65251,443,0x0014,2118,5673,0,,,,,,,,,,
45,0.973044000,1789973465.782641400,66,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0002,0,0,0,,,,,,,,,,
46,0.973789500,1789973465.783386900,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0011,5673,2117,0,,,,,,,,,,
47,1.130965100,1789973465.940562500,66,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,2,443,65252,0x0012,0,1,0,,,,,,,,,,
48,1.131046900,1789973465.940644300,54,eth:ethertype:ip:tcp,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0010,1,1,0,,,,,,,,,,
49,1.133741800,1789973465.943339200,60,eth:ethertype:ip:tcp,0x0800,46.225.13.27,192.168.1.152,50,True,1,443,65251,0x0010,5674,2118,0,,,,,,,,,,
50,1.147313300,1789973465.956910700,1581,eth:ethertype:ip:tcp:tls,0x0800,192.168.1.152,46.225.13.27,128,True,2,65252,443,0x0018,1,1,1527,,,,,,,,1,0x0304,0x1302
